Supplier_Reliability,Equipment_Height,Equipment_Width,Equipment_Weight,Equipment_Type,Equipment_Value,Base_Transport_Fee,CrossBorder_Shipping,Urgent_Shipping,Installation_Service,Transport_Method,Fragile_Equipment,Hospital_Info,Rural_Hospital,Order_Year,Order_Month,Order_Day,Order_DayOfWeek,Order_Quarter,Delivery_Year,Delivery_Month,Delivery_Day,Delivery_DayOfWeek,Delivery_Quarter,Delivery_Time,Location_State,Location_Zip,Location_Is_Military,Equipment_Area,Weight_per_Area,Value_per_Weight,Value_per_Area,Transport_Cost,Transport_Cost_Log,Target_Shift_Value
0.44,21.0,6.0,-35806.05511097703,5,3.62,17.13,0,0,0,2,0,1,0,2017.0,10.0,20.0,4.0,4.0,2017.0,10.0,20.0,4.0,4.0,0.0,0,1799,1.0,126.0,143.2534457873988,0.0,0.02873015873015873,179.5,13.285102272707851,588184.2
0.58,29.0,20.0,1210684.0,4,9703.37,35.42,0,1,1,2,0,1,0,2016.0,2.0,22.0,0.0,1.0,2016.0,2.0,24.0,2.0,1.0,2.0,49,4556,0.0,580.0,2087.386206896552,0.008014783378652069,16.72994827586207,627732.45,14.011009617175535,588184.2
0.97,39.0,15.0,3305.0,0,40.21,18.54,0,0,0,2,0,1,0,2018.0,1.0,11.0,3.0,1.0,2018.0,1.0,10.0,2.0,1.0,-1.0,32,1673,0.0,585.0,5.64957264957265,0.012166414523449319,0.06873504273504273,1565.92,13.28745589637791,588184.2
0.7,8.0,5.0,606.0,1,4.55,17.48,0,0,0,2,0,1,0,2016.0,8.0,6.0,5.0,3.0,2016.0,8.0,6.0,5.0,3.0,0.0,4,3303,1.0,40.0,15.15,0.007508250825082508,0.11374999999999999,257.71,13.285235191630964,588184.2
0.66,27.0,13.0,877243.0996461371,4,2726.8,30.23,1,0,0,2,0,1,-1,2016.0,12.0,15.0,3.0,4.0,2016.0,12.0,17.0,5.0,4.0,2.0,2,59,0.0,351.0,1502.211298396997,0.0,7.768660968660969,8553.52,13.29923464163449,588184.2
0.86,47.0,12.0,45933.95361587033,5,63.71,63.12,0,0,0,1,0,1,0,2016.0,6.0,17.0,4.0,2.0,2016.0,6.0,15.0,2.0,2.0,-2.0,13,714,0.0,564.0,324.08736550368104,0.0,0.11296099290780141,4687.51,13.292735000638162,588184.2
0.98,22.0,12.0,3990.0,3,6.99,10.96,1,0,0,3,1,1,0,2019.0,3.0,11.0,0.0,1.0,2019.0,3.0,12.0,1.0,1.0,1.0,3,4779,0.0,264.0,15.113636363636363,0.0017518796992481204,0.026477272727272728,798.85,13.286154382470794,588184.2
0.4646104716652297,27.0,6.0,6358.0,2,28.29,41.03,0,1,1,1,0,1,0,2016.0,6.0,14.0,1.0,2.0,2016.0,6.0,16.0,3.0,2.0,2.0,20,3735,0.0,162.0,39.24691358024691,0.004449512425290972,0.17462962962962963,332.51,13.285362298687613,588184.2
0.54,14.0,7.0,191.0,0,6.14,21.07,0,0,0,2,0,0,0,2018.0,3.0,2.0,4.0,1.0,2018.0,2.0,26.0,0.0,1.0,-4.0,27,1721,0.0,98.0,1.9489795918367347,0.03214659685863874,0.0626530612244898,338.7,13.285372816582559,588184.2
0.52,13.0,7.0,1725.0,2,3.98,20.63,0,1,0,1,0,1,0,2018.0,8.0,22.0,2.0,3.0,2018.0,8.0,24.0,4.0,3.0,2.0,27,1464,0.0,91.0,18.956043956043956,0.0023072463768115943,0.043736263736263735,265.67,13.285248718765077,588184.2
0.63,48.0,16.0,265161.66231234744,0,15.51,71.25,0,1,0,0,0,1,0,2017.0,3.0,4.0,5.0,1.0,2017.0,3.0,1.0,2.0,1.0,-3.0,10,2349,0.0,768.0,570.6235956919875,0.0,0.0201953125,1691.43,13.28766869232218,588184.2
0.35,30.0,12.0,476.0,7,3.39,14.84,1,0,0,1,0,1,0,2017.0,7.0,6.0,3.0,3.0,2017.0,7.0,7.0,4.0,3.0,1.0,12,5033,0.0,360.0,1.3222222222222222,0.007121848739495799,0.009416666666666667,160.97,13.285070778140284,588184.2
0.84,16.0,6.0,2148.0,2,14.85,14.5,0,1,1,2,0,1,1,2017.0,4.0,9.0,6.0,2.0,2017.0,4.0,8.0,5.0,2.0,-1.0,3,1556,0.0,96.0,22.375,0.00691340782122905,0.1546875,496.28,13.28564053537423,588184.2
